reserva_cancelada;tempo_antecedencia;data_chegada;ano_chegada;mes_chegada;diadomes_chegada;nro_noites_fds;nro_noites_dds;adultos;criancas;bebes;alimentacao;país;segmento_mercado;cliente_recorrente;tipo_quarto;tipo_pgto;agencia_turismo;receita_por_noite;pedidos_especiais;status_reserva;data_status_reserva
1;75;2015-07-01;2015;7;1;0;3;2;0;0;HB;PRT;AT Offline;0;D;Sem pgto;15;105.5;0;Cancelada;2015-04-22
1;85;2015-07-01;2015;7;1;0;3;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;82;1;Cancelada;2015-05-06
1;60;2015-07-01;2015;7;1;2;5;2;0;0;BB;PRT;AT Online;0;E;Sem pgto;240;107;2;Cancelada;2015-05-11
1;96;2015-07-01;2015;7;1;2;8;2;0;0;BB;PRT;Direta;0;E;Sem pgto;NULL;108.3;2;Cancelada;2015-05-29
1;23;2015-07-01;2015;7;1;0;4;2;0;0;BB;PRT;AT Online;0;E;Sem pgto;240;123;0;Cancelada;2015-06-23
0;342;2015-07-01;2015;7;1;0;0;2;0;0;BB;PRT;Direta;0;C;Sem pgto;NULL;0;0;Confirmada;2015-07-01
0;737;2015-07-01;2015;7;1;0;0;2;0;0;BB;PRT;Direta;0;C;Sem pgto;NULL;0;0;Confirmada;2015-07-01
0;127;2015-07-01;2015;7;1;2;5;2;0;0;HB;GBR;AT Offline;0;D;Sem pgto;115;94.95;1;Confirmada;2015-07-01
0;7;2015-07-01;2015;7;1;0;1;1;0;0;BB;GBR;Direta;0;A;Sem pgto;NULL;75;0;Confirmada;2015-07-02
0;13;2015-07-01;2015;7;1;0;1;1;0;0;BB;GBR;Corporativo;0;A;Sem pgto;304;75;0;Confirmada;2015-07-02
0;12;2015-07-01;2015;7;1;0;1;2;0;0;BB;IRL;AT Online;0;A;Sem pgto;240;88.2;0;Confirmada;2015-07-02
0;0;2015-07-01;2015;7;1;0;1;2;0;0;BB;FRA;Corporativo;0;A;Sem pgto;NULL;107.42;0;Confirmada;2015-07-02
0;4;2015-07-01;2015;7;1;0;1;1;0;0;BB;NULL;Corporativo;0;A;Sem pgto;NULL;134;0;Confirmada;2015-07-02
0;2;2015-07-01;2015;7;1;0;1;1;0;0;BB;NULL;AT Online;0;A;Sem pgto;240;4;1;Confirmada;2015-07-02
0;1;2015-07-01;2015;7;1;0;1;1;0;0;BB;PRT;Corporativo;1;A;Sem pgto;NULL;134;0;Confirmada;2015-07-02
0;14;2015-07-01;2015;7;1;0;2;2;0;0;BB;GBR;AT Online;0;A;Sem pgto;240;98;1;Confirmada;2015-07-03
0;14;2015-07-01;2015;7;1;0;2;2;0;0;BB;GBR;AT Online;0;A;Sem pgto;240;98;1;Confirmada;2015-07-03
0;0;2015-07-01;2015;7;1;0;2;2;0;0;BB;PRT;Direta;0;C;Sem pgto;NULL;107;0;Confirmada;2015-07-03
